"index","case","datetime","key_value","name","units","value"
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_A79403","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",34.8073800355673
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_F8E398","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",83.7747662762936
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_F8E398","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",35.4272619114433
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_653A8A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.1965671831551
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_653A8A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",100.936638877478
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_953913","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",20.2906320435803
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_953913","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",100.824900601038
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_699E7C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",90.1825120383122
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_699E7C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",34.5633056264263
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C5516B","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",24.9426880222632
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C5516B","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.091106696975
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_3134EF","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",108.669229453357
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_3134EF","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_5877D0","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",20.6127504168561
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_5877D0","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.100733864042
